orbital_period,transit_epoch,transit_duration,transit_depth,planet_radius,disposition,dataset
9.48803557,170.53875,2.9575,615.8,2.26,0,KOI
54.4183827,162.51384,4.507,874.8,2.83,0,KOI
19.89913995,175.850252,1.7822,10829.0,14.6,1,KOI
2.525591777,171.59555,1.6545,603.3,2.75,0,KOI
11.09432054,171.20116,4.5945,1517.5,3.9,0,KOI
4.13443512,172.97937,3.1402,686.0,2.77,0,KOI
2.56658897,179.55437,2.429,226.5,1.59,0,KOI
16.06864674,173.621937,3.5347,4914.3,5.76,0,KOI
2.470613377,122.763305,1.74319,14231.0,13.04,0,KOI
2.204735417,121.3585417,3.88864,6674.7,16.1,0,KOI
3.522498429,121.1194228,3.19843,9145.7,14.59,0,KOI
3.709214104,133.98318,2.6302,131.1,1.16,0,KOI
9.27358173,173.258155,3.2875,1288.3,2.47,0,KOI
6.02930329,171.602959,1.5821,1912.7,2.85,0,KOI
5.349553819,171.80694,3.0278,831.0,2.55,0,KOI
3.94105221,136.08662,2.5984,363.3,1.7,0,KOI
8.10904807,132.8031,3.596,217.4,1.3,0,KOI
21.67699193,171.53594,3.4555,857.2,2.95,0,KOI
4.99677968,171.74208,2.1717,934.7,2.78,0,KOI
4.280963604,171.89659,2.875,750.8,2.3,0,KOI
38.3775486,172.82048,5.588,724.2,2.82,0,KOI
41.19725502,165.00404,4.6297,2213.9,3.86,0,KOI
6.252962249,171.30126,2.5819,1036.9,2.65,0,KOI
16.01308419,176.3608,3.2554,1121.9,3.1,0,KOI
32.62876672,194.1019,4.7971,1804.8,3.36,0,KOI
91.7732862,193.8378,6.473,652.0,2.12,0,KOI
4.959319244,172.2585292,2.22739,9802.0,12.21,0,KOI
4.49876511,171.34905,3.7362,460.0,2.1,0,KOI
5.412203927,133.143089,2.9472,601.6,2.94,0,KOI
41.43958662,208.93203,10.5989,2793.1,5.5,0,KOI
8.35389523,171.63257,2.2514,1041.6,2.52,0,KOI
4.125543472,169.752585,3.1744,1487.3,4.43,0,KOI
2.816504904,170.9676846,2.50587,16814.0,12.21,0,KOI
3.689920099,170.36571,2.6557,426.7,1.89,0,KOI
4.431238488,171.015,3.15,1010.9,3.25,0,KOI
11.37936986,133.84992,2.6255,1023.5,3.95,0,KOI
26.39432897,176.05459,3.573,1510.9,3.07,0,KOI
13.57078281,136.279194,3.3539,511.7,2.64,0,KOI
7.12594387,139.00492,3.0014,192.4,1.79,0,KOI
16.38489988,172.72782,3.0249,1127.1,2.0,0,KOI
7.8774163,176.3759,2.0805,1306.1,2.16,0,KOI
36.4454001,151.60125,4.007,1122.3,1.99,0,KOI
3.728732147,171.793255,2.683,5226.5,6.02,0,KOI
40.4195037,173.56469,3.362,6256.0,7.51,1,KOI
2.243380573,170.679233,1.1196,821.7,1.99,0,KOI
2.337437946,171.761982,1.9982,971.2,2.34,0,KOI
7.2406612,137.75545,0.558,556.4,19.45,1,KOI
3.43591631,132.6624,3.133,23.2,0.55,1,KOI
11.59822233,180.395376,2.5237,2804.5,2.65,0,KOI
6.575315881,173.634044,4.3084,2793.3,5.31,0,KOI
7.275040844,169.994217,7.5377,3001.0,4.86,0,KOI
19.27153892,186.77093,2.7594,1219.8,1.93,0,KOI
10.06524317,136.28906,1.369,1053.3,1.91,0,KOI
12.3935651,178.74725,3.8896,916.6,2.66,0,KOI
43.84439721,151.93538,6.802,615.2,2.87,0,KOI
2.711504086,170.03417,3.0099,837.5,3.12,0,KOI
7.21203748,172.81782,4.0491,950.4,3.32,0,KOI
8.47237911,174.16212,2.7245,1123.5,2.59,0,KOI
60.4189369,181.16367,5.039,931.3,2.36,0,KOI
12.611904345,180.892284,5.1497,6105.6,7.4,0,KOI
2.539183147,169.67494,2.4282,382.1,2.06,0,KOI
6.770300385,170.57662,2.0844,1304.0,2.77,0,KOI
10.181584004,177.141891,3.5089,5741.1,7.73,1,KOI
20.06036336,147.46554,3.3203,1494.7,1.96,0,KOI
46.1842039,165.23729,4.758,1394.7,1.83,0,KOI
23.9800854,147.537,5.351,104.0,1.31,0,KOI
7.82502168,136.54995,2.186,520.8,1.2,0,KOI
3.895936525,170.527552,2.3111,8544.8,7.34,0,KOI
22.36646466,175.45862,5.228,986.8,2.32,0,KOI
1.625522174,170.8266564,2.38963,7969.0,9.73,0,KOI
19.620346923,181.881819,2.0038,21725.0,13.6,1,KOI
9.02930689,177.20422,3.1449,1019.8,2.57,0,KOI
143.2063047,154.23552,8.9302,10566.0,8.9,0,KOI
6.164876,135.63916,3.262,55.8,0.79,0,KOI
60.32494216,243.892578,6.6188,20280.0,12.19,0,KOI
29.1598615,150.69922,4.803,488.0,1.91,0,KOI
1.594745374,170.6483505,1.9604,15044.0,11.3,0,KOI
4.783002698,170.508434,2.335,1008.7,2.5,0,KOI
20.50588921,181.43428,4.0595,2105.5,3.41,0,KOI
3.340218842,171.979062,1.9104,1632.6,2.03,0,KOI
18.64932728,174.771,4.4056,893.6,3.12,0,KOI
4.90144976,138.60548,4.1654,140.7,1.7,0,KOI
9.75192101,138.78608,4.793,418.0,2.76,0,KOI
38.5576546,163.85063,5.794,993.0,4.02,0,KOI
3.525632539,170.0479951,2.59959,22335.0,11.58,0,KOI
34.84398644,172.633252,2.9315,4523.6,7.61,1,KOI
7.748094239,174.997206,3.5957,2472.1,5.52,0,KOI
23.96793669,186.22182,3.827,1182.3,1.8,0,KOI
8.29561738,135.79284,1.3421,824.3,1.82,0,KOI
8.11437482,176.33968,2.2736,1558.0,2.1,0,KOI
4.64090031,173.64638,35.512,2450.6,30.09,1,KOI
14.74914825,138.77799,6.0995,430.2,2.89,0,KOI
21.81295996,174.01085,4.3791,1175.4,3.38,0,KOI
1.028436523,170.228582,1.8606,8098.0,72.77,1,KOI
15.37562369,173.61402,3.3169,15337.0,11.01,0,KOI
8.10363271,176.9486,3.161,887.9,2.11,0,KOI
4.71510843,134.96178,2.506,417.5,1.46,0,KOI
6.365839713,171.13575,2.9721,780.7,2.44,0,KOI
3.04033046,169.9490106,1.8411,10859.0,8.99,0,KOI
15.33528675,174.00278,3.897,3081.4,5.0,0,KOI
7.95825328,137.80219,4.377,50.0,1.06,0,KOI
31.33046135,153.43031,5.176,5073.8,6.5,0,KOI
23.65369415,171.376107,8.2183,3341.8,7.89,0,KOI
13.23352214,140.32196,6.7372,504.6,3.06,0,KOI
6.15560285,134.81656,4.9843,285.0,2.32,0,KOI
2.090811305,134.17462,3.388,115.9,1.62,0,KOI
3.180027898,133.49863,3.5797,120.3,1.53,0,KOI
50.4467417,178.5014,7.159,370.3,2.67,0,KOI
11.76307164,180.93613,2.9076,1037.3,2.35,0,KOI
56.2279271,132.29259,3.57,862.7,2.37,0,KOI
7.953547,174.66224,2.6312,875.4,2.25,0,KOI
4.14451656,135.92831,2.3421,391.8,1.48,0,KOI
10.526294577,176.522462,2.5211,9768.0,8.24,0,KOI
4.583520948,169.973972,2.7055,3812.1,5.39,0,KOI
3.76181843,171.90364,3.5176,510.6,2.66,0,KOI
8.20396958,169.69138,2.9667,1024.4,3.01,0,KOI
14.49645186,143.41659,4.016,647.5,3.01,0,KOI
6.54626149,133.85964,2.75,655.9,2.19,0,KOI
12.71809866,175.35526,3.0957,1149.4,2.31,0,KOI
36.06588163,198.58423,4.3246,1563.8,2.64,0,KOI
4.190425659,171.44122,2.8589,2877.4,6.21,0,KOI
3.709870784,171.987982,3.0694,2020.3,4.35,0,KOI
16.3297527,177.29506,6.271,1187.5,3.75,0,KOI
27.807566216,186.713552,4.21587,25391.0,13.84,0,KOI
80.8723469,203.895,11.195,3604.6,7.59,0,KOI
24.99324319,138.68167,5.9409,269.6,2.29,0,KOI
10.35533116,170.93729,3.1775,750.6,2.47,0,KOI
16.08518937,180.28319,3.984,1442.4,3.68,0,KOI
235.9986399,208.399822,8.2284,20715.0,10.59,1,KOI
7.49018305,174.95037,2.7297,1123.6,2.56,0,KOI
36.2761238,201.2869,4.7865,1572.6,3.03,0,KOI
17.46087931,137.26594,2.2641,812.4,2.32,0,KOI
56.0560754,201.16578,4.685,1626.0,1.94,0,KOI
41.408316686,195.78745,5.0264,22839.0,11.38,0,KOI
39.74893077,172.854644,7.3051,15179.0,14.21,1,KOI
5.715425977,174.87931,2.5242,908.1,2.47,0,KOI
49.18394185,141.911924,11.3364,1646.2,8.2,0,KOI
20.0261412,146.91109,1.611,421.2,2.28,0,KOI
13.61014819,173.987319,2.594,5732.9,19.02,1,KOI
2.237489571,170.81914,1.8119,315.8,1.41,0,KOI
3.167893418,172.147959,2.1814,781.2,2.62,0,KOI
4.311780262,173.576483,2.7251,1154.0,3.11,0,KOI
20.0504494,188.08821,4.556,840.9,2.69,0,KOI
9.76734503,186.57718,1.6585,569.1,2.67,0,KOI
119.0207044,222.236492,8.1405,7430.5,8.98,1,KOI
190.3200468,312.68498,15.284,1141.7,7.78,0,KOI
26.44439337,194.12074,3.9783,1843.5,3.91,0,KOI
51.53997972,174.055011,6.3994,3644.3,5.51,0,KOI
5.902245782,136.78393,2.9003,702.3,2.43,0,KOI
2.382951591,135.080841,1.8876,391.6,1.86,0,KOI
21.02250608,207.67593,4.1072,1772.5,3.07,0,KOI
3.219814777,133.00406,2.0642,488.2,1.69,0,KOI
5.912273234,172.184012,2.3254,961.4,1.73,0,KOI
8.98581901,175.68418,2.8606,881.3,1.65,0,KOI
12.940668656,179.423014,2.4845,42450.0,22.94,1,KOI
33.60123371,186.680343,4.4056,7425.9,8.46,0,KOI
6.76652928,138.0637,2.9004,450.7,1.97,0,KOI
4.347288783,172.23343,2.1024,451.6,2.36,0,KOI
4.601811819,169.98108,2.2607,755.9,2.35,0,KOI
