orbital_period,transit_duration,transit_depth,planet_radius,radius_ratio,stellar_teff,stellar_radius,stellar_mass,insolation_flux,teq,label,mission
9.48803557,2.9575,615.8,2.26,0.022344,5455.0,0.927,0.919,93.59,793.0,CONFIRMED,Kepler
54.4183827,4.507,874.8,2.83,0.027954,5455.0,0.927,0.919,9.11,443.0,CONFIRMED,Kepler
19.89913995,1.7822,10829.0,14.6,0.154046,5853.0,0.868,0.961,39.3,638.0,CANDIDATE,Kepler
1.736952453,2.40641,8079.2,33.46,0.387394,5805.0,0.791,0.836,891.96,1395.0,FALSE POSITIVE,Kepler
2.525591777,1.6545,603.3,2.75,0.024064,6031.0,1.046,1.095,926.16,1406.0,CONFIRMED,Kepler
11.09432054,4.5945,1517.5,3.9,0.036779,6046.0,0.972,1.053,114.81,835.0,CONFIRMED,Kepler
4.13443512,3.1402,686.0,2.77,0.026133,6046.0,0.972,1.053,427.65,1160.0,CONFIRMED,Kepler
2.56658897,2.429,226.5,1.59,0.014983,6046.0,0.972,1.053,807.74,1360.0,CONFIRMED,Kepler
7.36178958,5.022,233.7,39.21,0.183387,6227.0,1.958,1.358,767.22,1342.0,FALSE POSITIVE,Kepler
16.06864674,3.5347,4914.3,5.76,0.062161,5031.0,0.848,0.801,30.75,600.0,CONFIRMED,Kepler
2.470613377,1.74319,14231.0,13.04,0.123871,5820.0,0.964,0.971,761.46,1339.0,CONFIRMED,Kepler
2.204735417,3.88864,6674.7,16.1,0.075522,6440.0,1.952,1.449,4148.92,2048.0,CONFIRMED,Kepler
3.522498429,3.19843,9145.7,14.59,0.092086,6225.0,1.451,1.132,1264.67,1521.0,CONFIRMED,Kepler
3.709214104,2.6302,131.1,1.16,0.010424,5833.0,1.022,0.974,500.46,1206.0,CONFIRMED,Kepler
11.521446064,3.6399,17984.0,150.51,1.625358,5795.0,0.848,0.938,75.88,753.0,FALSE POSITIVE,Kepler
19.40393776,12.2155,8918.7,7.18,0.096729,5043.0,0.68,0.657,17.69,523.0,FALSE POSITIVE,Kepler
19.221388942,4.79843,74284.0,49.29,0.476633,6117.0,0.947,1.025,55.97,698.0,FALSE POSITIVE,Kepler
